coef_Dual	t_Dual	pval_Dual
AL627309.1	0.0145866884672999	1.18342251264257	0.270612705700705
LINC00115	-0.0437666452530072	-0.957294697841039	0.366449896772683
FAM41C	-0.0244834131767561	-0.19054931912605	0.853625358886332
AL645608.1	0.0127290009435963	0.979906974191351	0.355832179830567
SAMD11	0.00412088514432961	0.156317603410525	0.879655388954209
NOC2L	0.232343834195475	3.57714238356317	0.00721822498833776
KLHL17	-0.0137398795363929	-0.40630266241663	0.695171843662767
HES4	-0.0666509974706018	-0.531295712751881	0.609644247177707
ISG15	0.334026767433088	1.36414436128235	0.209660535960073
AGRN	-0.0907335546621926	-1.6872219732637	0.130041990137145
C1orf159	-0.0122151924690304	-0.24458142250908	0.812936984530203
TNFRSF18	-0.109424456397313	-2.49746034704798	0.037088520470187
TNFRSF4	0.00868625456347555	0.158785908278423	0.877772835925392
SDF4	0.108059549256846	1.01513435159431	0.339756193673124
B3GALT6	0.083898703793008	1.40722681923873	0.197003971900666
UBE2J2	0.215907702453034	3.42984743075327	0.00895685976549009
SCNN1D	-0.0417647255256752	-1.58993789370446	0.150512513715995
ACAP3	-0.317984140937075	-2.69745041034033	0.0271811437554261
PUSL1	0.0962087852401056	1.63569061875967	0.140542688519414
TAS1R3	-0.00835837141806053	-0.495126883065105	0.633821924767888
DVL1	-0.028842830082251	-0.675682173559508	0.518293239383678
MXRA8	0.0460767558077354	1.23508229150362	0.251840761005895
AURKAIP1	0.429488570636575	4.08593882392125	0.00350522287084927
CCNL2	0.0361200356099315	0.435847359994948	0.674469065161659
MRPL20	0.604058424178841	4.2976966883131	0.00262391213516731
ATAD3C	0.0534802155292698	0.880454072162323	0.404286493952015
ATAD3B	0.0370666525313058	0.404055542803074	0.696757941304897
ATAD3A	0.151464013999177	2.54957719283565	0.0341971615655902
SSU72	0.323749225232715	2.0547044812305	0.0739658517788985
AL645728.1	-0.0238347759126695	-0.279134796398579	0.787221652659104
MIB2	0.33532984415814	2.25158345053379	0.0544326387989284
MMP23B	0.0341563409960207	1.99278446547003	0.0814211624316036
CDK11B	0.340525794924154	2.02257376121526	0.0777476694526656
SLC35E2B	-0.0206163647316302	-0.144318934133943	0.888818041337582
CDK11A	0.111443643505845	0.863829112952341	0.412830452448708
NADK	0.113157195236685	1.04232186582391	0.327734237588693
GNB1	0.00885541559481157	0.0598288943944421	0.953759482723854
TMEM52	-0.00650149814140396	-0.238037211009569	0.817835743018621
GABRD	0.0361694381896044	1.28385347210478	0.235126655802424
